month,day,year,date,prop_letter,ballot_subject,type_of_measure,description,pass_or_fail,vote_counts,percent_vote,percent_required_to_pass,measure_placed_on_ballot_by,pdf_available
November,5,1907,05-Nov-07,1,Bonds issued for acquisition of public utilities,Charter Amendment,"Setting forth a proposal relating to bonds issued for the acquisition of public utilities, the registration thereof, and the levy of taxes to provide for the interest thereon and a sinking fund, and to bonds issued for the acquisition of land and the construction or acquisition of any permanent building or buildings, improvement or improvements.",P,"Yes: 23,257  /  No: 4,637",Yes: 83.3%  /  No: 16.7%,50%+1,Supervisors,November5_1907
November,5,1907,05-Nov-07,2,Recall of Elected Officials,Charter Amendment,The holder of any elective office may be removed at any time by the electors qualified to vote for a successor of each incumbent. A petition must be filed with the Board of Election Commissioners with signatures equal to 30% (percent) of registered voters and must contain a general statement of the grounds for which the removal is sought.,P,"Yes: 22,945  /  No: 5,579",Yes: 80.4%  /  No: 19.6%,50%+1,Supervisors,November5_1907
November,5,1907,05-Nov-07,3,Apportionment of Fund Revenue; Interest on Bonded Indebtedness; Sinking Funds,Charter Amendment,Relating to the apportionment of the income and revenue of funds and a provision for income to pay interest on the bonded indebtedness and provide for the sinking funds. The sinking funds shall always be provided for out of the tax on property.,P,"Yes: 21,000  /  No: 5,809",Yes: 78.3%  /  No: 21.7%,50%+1,Supervisors,November5_1907
November,5,1907,05-Nov-07,4,Responsibility of treasurer for public funds,Charter Amendment,Relating to the custody by the Treasurer of public funds and authorizing their deposit in certain banks upon certain terms and conditions.  Treasurer shall receive and safely keep all moneys which shall be paid into the Treasury.,P,"Yes: 22,425  /  No: 5,285",Yes: 80.9%  /  No: 19.1%,50%+1,Supervisors,November5_1907
November,5,1907,05-Nov-07,5,"Board of Public Works; Contracts, Bonds and Payments",Charter Amendment,"Relating to contracts entered into by the Board of Public Works, and bonds to be given in connection with the same, permitting progressive payments to be provided upon certain terms and conditions. All contracts shall be drawn under the supervision of the City Attorney.",P,"Yes: 20,527  /  No: 7,039",Yes: 74.4%  /  No: 25.6%,50%+1,Supervisors,November5_1907
November,5,1907,05-Nov-07,6,Officers of City to be Bonded,Charter Amendment,Officers shall respectively execute official bonds to the City and County.,P,"Yes: 21,970  /  No: 4,495",Yes: 83.0%  /  No: 17.0%,50%+1,Supervisors,November5_1907
November,5,1907,05-Nov-07,7,Board of Supervisors' Appropriation for Urgent Necessities,Charter Amendment,"Relating to the appropriation of $100,000 a year by the supervisors for urgent necessities not otherwise provided for by law.",P,"Yes: 20,961  /  No: 5,358",Yes: 79.6%  /  No: 20.4%,50%+1,Supervisors,November5_1907
November,5,1907,05-Nov-07,8,Composition of Members of Fire Department; Salaries and Vacations,Charter Amendment,Relative to the composition of the personnel of the companies of the Fire Department and the salaries and vacations of the members.,P,"Yes: 35,017  /  No: 8,347",Yes: 80.7%  /  No: 19.3%,50%+1,Supervisors,November5_1907
November,5,1907,05-Nov-07,9,Taxes or Bonded Indebtedness; Acquisition of Public Utilities,Charter Amendment,"The City shall have the power to acquire, construct or complete any public utility from funds derived from taxes levied for that purpose, or from funds derived from the sale of bonds issued for that purpose and may operate, maintain, sell or lease any public utility subject to the provisions of this Charter.",P,"Yes: 20,861  /  No: 5,858",Yes: 78.0%  /  No: 22.0%,50%+1,Supervisors,November5_1907
November,5,1907,05-Nov-07,10,Sale of City-Owned Lands; Future Land Acquisitions,Charter Amendment,"City and County of San Francisco to have power to sell all lands owned by the City and County between Ninth street and Eighteenth street, formerly Mission Creek, and any and all future acquisitions, excepting lands for parks, squares and children's playgrounds.",P,"Yes: 15,023  /  No: 10,573",Yes: 58.6%  /  No: 41.4%,50%+1,Supervisors,November5_1907
November,5,1907,05-Nov-07,11,Changes to Street Grades,Charter Amendment,Relating to the changes or modifications of street grades and the performance of street work in connection therewith.,P,"Yes: 18,499  /  No: 7,774",Yes: 70.4%  /  No: 29.6%,50%+1,Supervisors,November5_1907
November,5,1907,05-Nov-07,12,"Opening, Closing, Widening, Straightening, and Extending of Streets",Charter Amendment,"Relating to the opening, extending, widening, straightening or closing up of streets and the performance of street work in connection therewith, and the condemnation and acquisition of land and property necessary therefor.",P,"Yes: 18,501  /  No: 8,109",Yes: 69.5%  /  No: 30.5%,50%+1,Supervisors,November5_1907
November,5,1907,05-Nov-07,13,Liability for Damages against the City and its Officials,Charter Amendment,"No recourse shall be had against the City for damage or loss to person or property due to the defective condition, or lack of repair, of any sidewalk, street, avenue, lane, alley, court, place or sewer.",P,"Yes: 19,817  /  No: 6,605",Yes: 75.0%  /  No: 25.0%,50%+1,Supervisors,November5_1907
November,5,1907,05-Nov-07,14,Leasing of Real Property of School Department,Charter Amendment,"To lease to the highest responsible bidder, for the benefit of the Common School Fund and for a term not exceeding thirty-five years, any real property of the School Department not required for school purposes.",P,"Yes: 20,451  /  No: 5,707",Yes: 78.1%  /  No: 21.9%,50%+1,Supervisors,November5_1907
November,5,1907,05-Nov-07,15,Board of Supervisors; Power to grant permits for spur tracks,Charter Amendment,"To permit spur tracks for industrial purposes only, for purpose of connecting warehouses, manufactories, or other business industries and enterprises with the Belt Line of railroads along the water front or other lines of railroad.",P,"Yes: 20,501  /  No: 11,504",Yes: 64.0%  /  No: 36.0%,50%+1,Supervisors,November5_1907
November,5,1907,05-Nov-07,16,Contract for Official Advertising; Official Newspaper,Charter Amendment,"All contracts for official advertising to be let annually to the lowest responsible bidder publishing a daily newspaper with a daily circulation of at least two thousand copies and that has been in in existence for at least two years.  Advertising to be construed to mean the advertising and publication of all official reports, orders, ordinances relating to City work. The newspaper awarded such a contract shall be known as the ""Official Newspaper"".",F,"Yes: 12,012  /  No: 16,729",Yes: 41.7%  /  No: 58.3%,50%+1,Supervisors,November5_1907
November,5,1907,05-Nov-07,17,Regulation of Telephone Charges,Charter Amendment,"To fix and determine by ordinance in the month of February of each year, to take effect on the first day of July thereafter, rates or compensation to be collected for the use of water, heat, light, power or telephonic service.",P,"Yes: 23,867  /  No: 3,967",Yes: 85.7%  /  No: 14.7%,50%+1,Supervisors,November5_1907
November,5,1907,05-Nov-07,18,Establishment of a Playground Commission,Charter Amendment,"Relating to children's playgrounds and public recreation centers outside of Golden Gate Park, and creating a Playground Commission.",P,"Yes: 25,897  /  No: 3,575",Yes: 87.8%  /  No: 12.2%,50%+1,Supervisors,November5_1907
November,5,1907,05-Nov-07,19,Board of Health; Members; Appointment to Board and Terms of Office,Charter Amendment,"Establish a Department of Health, under the management of the Board of Health, which will consist of seven members, to be appointed by the Mayor.   Members of the Board to serve without compensation and adopt rules and regulations as necessary for the government of the board.",P,"Yes: 20,019  /  No: 7,131",Yes: 73.7%  /  No: 26.3%,50%+1,Supervisors,November5_1907
November,5,1907,05-Nov-07,20,Salaries of Members of Police Department,Charter Amendment,"Captains shall receive an annual salary of $2400; Lieutenants,  an annual salary of $1920; Sergeants, an annual salary of $1680; Corporals, an annual salary of $1560; Uniformed officers, an annual salary of $1464. The police force shall not exceed one officer for each 500 residents.",P,"Yes: 23,095  /  No: 17,382",Yes: 57.0%  /  No: 43.0%,50%+1,Supervisors,November5_1907
November,5,1907,05-Nov-07,21,Salaries of Members and Chief of Department of Electricity,Charter Amendment,"Board of Fire Commissioners and Board of Police Commissioners to elect an electrician, who will have general supervision of the Department of Electricity and will receive an annual salary of $3,000.  The number and compensation of assistants and employees of the Department of Electricity will be fixed annually by the Supervisors.",P,"Yes: 18,862  /  No: 10,894",Yes: 63.3%  /  No: 36.7%,50%+1,Supervisors,November5_1907
November,5,1907,05-Nov-07,22,An ordinance relating to the license of retail liquor dealers,Ordinance,"An ordinance relating to the license of retail liquor dealers, and reducing the license for sale in quantities less than one quart, from Five Hundred  ($500) Dollars to Four Hundred ($400) Dollars per year.",F,"Yes: 14,607  /  No: 22,680",Yes: 39.1%  /  No: 60.9%,50%+1,,November5_1907
May,11,1908,11-May-08,1,"Auxiliary Water System Bonds, $5,200,000",Bond Issue,"To incur a bonded indebtedness of $5,200,000 for an auxiliary water system for the City.",P,"Yes: 21,488  /  No: 1,636",Yes: 92.9%  /  No: 7.1%,66 2/3%,Supervisors,noimage
May,11,1908,11-May-08,2,"Sewer System Bonds, $4,000,000",Bond Issue,"To incur a bonded indebtedness of $4,000,000 for the construction of a sewerage system for the City.",P,"Yes: 21,401  /  No: 1,645",Yes: 92.8%  /  No: 7.2%,66 2/3%,Supervisors,noimage
May,11,1908,11-May-08,3,"Public School Buildings Bonds, $3,000,000",Bond Issue,"To incur a bonded indebtedness of $3,000,000 for the construction of new public school buildings in the City.",P,"Yes: 21,397  /  No: 1,701",Yes: 92.6%  /  No: 7.4%,66 2/3%,Supervisors,noimage
May,11,1908,11-May-08,4,"Hospital Bonds, $2,000,000",Bond Issue,"To incur a bonded indebtedness of $2,000,000 for construction and improvement to the public hospitals in the City.",P,"Yes: 21,263  /  No: 1,733",Yes: 92.6%  /  No: 7.6%,66 2/3%,Supervisors,noimage
May,11,1908,11-May-08,5,"Hall of Justice and Jail Bonds, $1,000,000",Bond Issue,"To incur a bonded indebtedness of $1,000,000 for the construction of a Hall of Justice and a jail facility in the City.",P,"Yes: 21,133  /  No: 1,875",Yes: 91.8%  /  No: 8.2%,66 2/3%,Supervisors,noimage
May,11,1908,11-May-08,6,"Sanitary Reduction Work Bonds, $1,000,000",Bond Issue,"To incur a bonded indebtedness of $1,000,000 for the construction of a garbage disposal plant and to change the methods of the current sanitary system in the City.",P,"Yes: 20,653  /  No: 2,423",Yes: 89.4%  /  No: 10.6%,66 2/3%,Supervisors,noimage
November,3,1908,03-Nov-08,,Granting John J. Egan certain rights of way for Railroad Franchise.,Ordinance,Ordinance granting John J. Egan certain rights of way for Railroad Franchise.,F,"Yes: 7,636  /  No: 29,611",Yes: 20.5%  /  No: 79.5%,50%+1,,noimage
November,12,1908,12-Nov-08,1,Hetch Hetchy Project Authorization,Charter Amendment,"Shall the City be authorized to purchase as a public utility, a water supply system and water works in the Hetch Hetchy Valley to furnish the City and its inhabitants with a sufficient supply of good, pure water for all purposes?",P,"Yes: 34,950  /  No: 5,708",Yes: 85.9%  /  No: 14.1%,50%+1,Supervisors,noimage
November,12,1908,12-Nov-08,2,"Hetch Hetchy, Tuolumne River, Lake Eleanor Project Bonds, $600,000",Bond Issue,"To incur a bonded indebtedness of $600,000 for the purchase of lands, rights and claims to and adjacent to the Hetch Hetchy Valley and Lake Eleanor for the purpose of the construction of a water supply system and water works to furnish the City with a sufficient supply of good, pure water for all purposes. Requires a two-thirds vote to pass.",P,"Yes: 34,572  /  No: 5,647",Yes: 86.4%  /  No: 13.6%,66 2/3%,Supervisors,noimage
November,12,1908,12-Nov-08,3,"County Line Water Company Purchase, $40,000",Charter Amendment,"To authorize the City to spend $40,000 on the purchase of the property and operations of the County Line Water Company used in supplying a portion of  the City with water.",P,"Yes: 33,897  /  No: 5,953",Yes: 85.0%  /  No: 15.0%,50%+1,Supervisors,noimage
June,22,1909,22-Jun-09,1,New City Hall,Bond Issue,"To incur a bonded indebtedness of $3,480,000 for the construction of a new City Hall and the purchase of four-and-a-half blocks new Market and Van Ness to constitute a Civic Center.",F,"Yes: 12,807  /  No: 10,498",Yes: 54.9%  /  No: 45.1%,66 2/3%,Supervisors,noimage
June,22,1909,22-Jun-09,2,"Polytechnic High School Bond Issue, $600,000",Bond Issue,"To incur a bonded indebtedness of $600,000 for the construction of Polytechnic High School",P,"Yes: 17,979  /  No: 5,210",Yes: 77.5%  /  No: 22.5%,66 2/3%,Supervisors,noimage
June,22,1909,22-Jun-09,3,"Juvenile Detention Home Bond Issue, $160,000",Bond Issue,"To incur a bonded indebtedness of $160,000 for the construction of a juvenile detention home.",F,"Yes: 14,950  /  No: 8,253",Yes: 64.4%  /  No: 35.6%,66 2/3%,Supervisors,noimage
June,22,1909,22-Jun-09,4,"Telegraph Hill Public Park Bond Issue, $250,000",Bond Issue,"To incur a bonded indebtedness of $250,000 for the acquisition of lands on Telegraph Hill for the construction of a public park.",F,"Yes: 14,334  /  No: 8,784",Yes: 62.0%  /  No: 37.8%,66 2/3%,Supervisors,noimage
June,22,1909,22-Jun-09,5,"Potrero Public Park Bond Issue, $400,000",Bond Issue,"To incur a bonded indebtedness of $400,000 for the acquisition of land in the Potrero neighborhood near Kansas, 20th and Connecticut for the construction of a public park.",F,"Yes: 14,243  /  No: 8,941",Yes: 61.4%  /  No: 38.6%,66 2/3%,Supervisors,noimage
June,22,1909,22-Jun-09,6,"Aquatic Park Bond Issue, $500,000",Bond Issue,"To incur a bonded indebtedness of $500,000 for the acquisition of lands at the northern terminal of Van Ness Avenue for the construction of a public aquatic park.",F,"Yes: 14,466  /  No: 8,755",Yes: 62.2%  /  No: 37.8%,66 2/3%,Supervisors,noimage
June,22,1909,22-Jun-09,7,"Bay View Public Park Bond Issue, $25,000",Bond Issue,"To incur a bonded indebtedness of $25,000 for the acquisition of the Bay View near the railroad and 32nd Avenue.",F,"Yes: 14,215  /  No: 8,805",Yes: 61.7%  /  No: 38.3%,66 2/3%,Supervisors,noimage
June,22,1909,22-Jun-09,8,"Noe Valley Public Playground Bond Issue, $500,000",Bond Issue,"To incur a bonded indebtedness of $500,000 for the acquisition of land near Noe Street, Sanchez, Elizabeth and 24th Street.",F,"Yes: 14,861  /  No: 8,258",Yes: 64.2%  /  No: 35.8%,66 2/3%,Supervisors,noimage
June,22,1909,22-Jun-09,9,"Glen Park Public Park Bond Issue, $90,000",Bond Issue,"To incur a bonded indebtedness of $90,000 for the acquisition of lands in the Glen Park District for a public park",F,"Yes: 13,451  /  No: 9,560",Yes: 58.4%  /  No: 41.6%,66 2/3%,Supervisors,noimage
June,24,1909,24-Jun-09,1,"Municipal (MUNI) Street Railway -- Gray Street Bond Issue, $1,950,000",Bond Issue,"To incur a bonded indebtedness of $1,950,000 for the acquisition and construction of a public utility namely the Municipal Street Railway along Gray Street.",F,"Yes: 14,404  /  No: 7,805",Yes: 64.8%  /  No: 35.2%,66 2/3%,Supervisors,noimage
November,2,1909,02-Nov-09,1,Liquor Licenses.,Ordinance,"Fixing the amount of Licenses to persons, firms, corporations and owners of any place of business where spirituous, malt or fermented liquors, or wines are furnished , or sold, in less quantity than one quart, and providing for the issuance and revocation of such licenses.",P,"Yes: 23,055  /  No: 15,415",Yes: 59.9%  /  No: 40.1%,50%+1,,noimage
December,30,1909,30-Dec-09,2,"To incur a bonded indebtedness for acquisition, construction and completion of a street railway over and along Market street.",Bond Issue,"To incur a bonded indebtedness by the City and County of San Francisco to the amount of $120,000 for the purpose of the acquisition, construction and completion of a street railway over and along Market street, from Geary street to East street and upon East street to the Ferry Building.  Bonds issued for such purpose shall bear interest at the rate of four and one-half per centum per annum, payable semi-annually.",P,"Yes: 30,869  /  No: 11,613",Yes: 72.6%  /  No: 27.4%,66 2/3%,,noimage
December,30,1909,30-Dec-09,1,To incur bonded indebtedness for the construction of a street railway over and along Geary Street,Bond Issue,"To incur a bonded indebtedness by the City and County of San Francisco to the amount of $1,900,000.00 for the purpose of the acquisition and completion of a street railway over and along Geary street, from Market street to Point Lobos avenue, Point Lobos avenue, from Geary street to Cliff avenue, from Point Lobos avenue to a convenient terminal near the ocean; Tenth avenue, from Point Lobos avenue to Golden Gate Park. Bonds issued for such purpose shall bear interest at the rate of 41/2 per centum per annum, payable semi-annually.",P,"Yes: 31,151  /  No: 11,704",Yes: 72.6%  /  No: 27.4%,66 2/3%,,noimage
January,14,1910,14-Jan-10,1,Lake Eleanor Bonds,Bond Issue,"To incur a bonded debt of City and County of San Francisco to the amount of $45,000,000 for the purpose of acquisition, construction and completion of a water supply and works to be owned and controlled by the City and County of San Francisco.",P,"Yes: 32,886  /  No: 1,609",Yes: 95.3%  /  No: 4.7%,66 2/3%,Supervisors,noimage
January,14,1910,14-Jan-10,2,Spring Valley System,Bond Issue,"To incur a bonded debt of $35,000,000 to purchase water supply, works and property of Spring Valley Water Company.",F,"Yes: 22,068  /  No: 11,722",Yes: 65.3%  /  No: 34.7%,66 2/3%,Supervisors,noimage
November,15,1910,15-Nov-10,1,Panama-Pacific International Exposition,Charter Amendment,"Providing $5,000,000 city bonds for the exposition.",P,"Yes: 42,024  /  No: 2,122",Yes: 95.1%  /  No: 4.9%,50%+1,Supervisors,noimage
November,15,1910,15-Nov-10,2,Library Trustees,Charter Amendment,Giving the Mayor the appointment of Library Trustees.,F,"Yes: 11,539  /  No: 27,813",Yes: 29.3%  /  No: 70.7%,50%+1,Supervisors,noimage
November,15,1910,15-Nov-10,3,City Taxes,Charter Amendment,Abolishing the dollar limit in the rate of city taxes.,F,"Yes: 9,753  /  No: 27,854",Yes: 25.9%  /  No: 74.1%,50%+1,Supervisors,noimage
November,15,1910,15-Nov-10,4,Public Utilities,Charter Amendment,Enlarging power of city to acquire public utilities.,F,"Yes: 11,186  /  No: 26,736",Yes: 29.4%  /  No: 70.6%,50%+1,Supervisors,noimage
November,15,1910,15-Nov-10,5,Municipal Record,Charter Amendment,Providing for the city advertising in Municipal Record,F,"Yes: 18,593  /  No: 20,045",Yes: 48.1%  /  No: 51.9%,50%+1,Supervisors,noimage
November,15,1910,15-Nov-10,6,Petition Percentage,Charter Amendment,Reducing petition percentage for direct legislation and recall.,P,"Yes: 21,651  /  No: 17,663",Yes: 55.0%  /  No: 45.0%,50%+1,Supervisors,noimage
November,15,1910,15-Nov-10,7,Majority Rule,Charter Amendment,Provides for majority rule and restores Australian ballot.,P,"Yes: 33,671  /  No: 7,469",Yes: 81.8%  /  No: 18.2%,50%+1,Supervisors,noimage
November,15,1910,15-Nov-10,8,City Election Ballot,Charter Amendment,Eliminates the party circles from city election ballot.,P,"Yes: 31,380  /  No: 8,480",Yes: 78.7%  /  No: 21.3%,50%+1,Supervisors,noimage
November,15,1910,15-Nov-10,9,Term Limits For Supervisors,Charter Amendment,Four-year term: half Supervisors elected every two years.,P,"Yes: 21,108  /  No: 11,130",Yes: 65.4%  /  No: 34.6%,50%+1,Supervisors,noimage
November,15,1910,15-Nov-10,10,Absence of City Officials,Charter Amendment,Enlarging the opportunity for absence of city officials.,P,"Yes: 28,411  /  No: 10,847",Yes: 72.3%  /  No: 27.7%,50%+1,Supervisors,noimage
November,15,1910,15-Nov-10,11,Tunnel and Subway Construction,Charter Amendment,Provides for construction of tunnels and subways.,P,"Yes: 32,432  /  No: 7,073",Yes: 82.0%  /  No: 18.0%,50%+1,Supervisors,noimage
November,15,1910,15-Nov-10,12,Tunnel and Subway Construction (Same As Number 11),Charter Amendment,Provides for construction of tunnels and subways.,P,"Yes: 31,558  /  No: 7,301",Yes: 81.2%  /  No: 18.8%,50%+1,Supervisors,noimage
November,15,1910,15-Nov-10,13,Sewer Assessments,Charter Amendment,Exempting sewer assessments from 50 per cent property value clause.,F,"Yes: 13,005  /  No: 24,500",Yes: 34.6%  /  No: 65.4%,50%+1,Supervisors,noimage
November,15,1910,15-Nov-10,14,Responsibility For Unaccepted Streets,Charter Amendment,Makes property owners responsible for unaccepted streets.,P,"Yes: 27,643  /  No: 11,243",Yes: 71.0%  /  No: 29.0%,50%+1,Supervisors,noimage
November,15,1910,15-Nov-10,17,Construction of Park Museum,Charter Amendment,Permitting Academy of Sciences to build museum in Park.,P,"Yes: 34,490  /  No: 4,561",Yes: 88.3%  /  No: 11.7%,50%+1,Supervisors,noimage
November,15,1910,15-Nov-10,18,Age Limit For Fire Auxiliary System Employees,Charter Amendment,Extending age limit of employees in the Auxiliary system.,P,"Yes: 19,192  /  No: 19,009",Yes: 50.2%  /  No: 49.8%,50%+1,Supervisors,noimage
November,15,1910,15-Nov-10,19,Recall of Street Railroad Franchise,Charter Amendment,Permitting city to recall street railroad franchise.,P,"Yes: 20,465  /  No: 17,677",Yes: 53.6%  /  No: 46.4%,50%+1,Supervisors,noimage
November,15,1910,15-Nov-10,20,Street Railroad Franchise Restrictions,Charter Amendment,Adding to restrictions of street railroad franchises.,F,"Yes: 17,684  /  No: 18,921",Yes: 48.3%  /  No: 51.7%,50%+1,Supervisors,noimage
November,15,1910,15-Nov-10,21,Tax Levy For Playgrounds,Charter Amendment,Providing 4 to 6 cent tax levy for playgrounds.,F,"Yes: 12,779  /  No: 23,851",Yes: 34.8%  /  No: 65.2%,50%+1,Supervisors,noimage
November,15,1910,15-Nov-10,22,Golden Gate Park Funds,Charter Amendment,Taking half Golden Gate Park funds for other parks.,F,"Yes: 16,855  /  No: 20,504",Yes: 45.1%  /  No: 54.9%,50%+1,Supervisors,noimage
November,15,1910,15-Nov-10,23,Municipal Work,Charter Amendment,Restricting municipal work to the day labor system.,F,"Yes: 10,896  /  No: 25,697",Yes: 29.7%  /  No: 70.3%,50%+1,Supervisors,noimage
November,15,1910,15-Nov-10,24,Civil Service Commission Cost and Term,Charter Amendment,Adds to cost and alters form of Civil Service Commission.,F,"Yes: 14,234  /  No: 22,261",Yes: 39.0%  /  No: 61.0%,50%+1,Supervisors,noimage
November,15,1910,15-Nov-10,25,Reducing City Office Hours,Charter Amendment,Provides leisure for tax eaters by reducing city office hours.,F,"Yes: 8,662  /  No: 28,014",Yes: 23.6%  /  No: 76.4%,50%+1,Supervisors,noimage
November,15,1910,15-Nov-10,27,Fiscal Amendments,Charter Amendment,Makes fiscal amendments take effect first of fiscal year.,P,"Yes: 27,383  /  No: 10,225",Yes: 72.8%  /  No: 27.2%,50%+1,Supervisors,noimage
November,15,1910,15-Nov-10,28,Raising Firemen Pensions,Charter Amendment,Raising pensions of firemen retired before year 1900.,P,"Yes: 30,460  /  No: 8,415",Yes: 78.3%  /  No: 21.7%,50%+1,Supervisors,noimage
November,15,1910,15-Nov-10,29,Supervisors' Salaries,Charter Amendment,Raising the salaries of Supervisors to $200 a month.,P,"Yes: 20,709  /  No: 17,396",Yes: 54.3%  /  No: 45.7%,50%+1,Supervisors,noimage
November,15,1910,15-Nov-10,30,Salaries and Positions in Registrar's Office,Charter Amendment,More positions and higher salaries in Registrar's office.,F,"Yes: 12,353  /  No: 26,550",Yes: 31.7%  /  No: 68.3%,50%+1,Supervisors,noimage
November,15,1910,15-Nov-10,31,Raising Salaries,Charter Amendment,Raising salaries of certain employees in Tax Collector's office.,F,"Yes: 10,109  /  No: 28,374",Yes: 26.2%  /  No: 73.8%,50%+1,Supervisors,noimage
November,15,1910,15-Nov-10,32,Board of Works -- Positions and Money,Charter Amendment,New positions and more money for the Board of Works.,F,"Yes: 8,797  /  No: 29,697",Yes: 22.8%  /  No: 77.2%,50%+1,Supervisors,noimage
